week_id,academic_year,week_of_year,date,day_of_week
2020-2021-W11,2020-2021,11,2020-11-16,Monday
2020-2021-W11,2020-2021,11,2020-11-17,Tuesday
2020-2021-W11,2020-2021,11,2020-11-18,Wednesday
2020-2021-W11,2020-2021,11,2020-11-19,Thursday
2020-2021-W11,2020-2021,11,2020-11-20,Friday
2020-2021-W12,2020-2021,12,2020-11-23,Monday
2020-2021-W12,2020-2021,12,2020-11-24,Tuesday
2020-2021-W12,2020-2021,12,2020-11-25,Wednesday
2020-2021-W12,2020-2021,12,2020-11-26,Thursday
2020-2021-W12,2020-2021,12,2020-11-27,Friday
2020-2021-W13,2020-2021,13,2020-11-30,Monday
2020-2021-W13,2020-2021,13,2020-12-01,Tuesday
2020-2021-W13,2020-2021,13,2020-12-02,Wednesday
2020-2021-W13,2020-2021,13,2020-12-03,Thursday
2020-2021-W13,2020-2021,13,2020-12-04,Friday
2020-2021-W14,2020-2021,14,2020-12-07,Monday
2020-2021-W14,2020-2021,14,2020-12-08,Tuesday
2020-2021-W14,2020-2021,14,2020-12-09,Wednesday
2020-2021-W14,2020-2021,14,2020-12-10,Thursday
2020-2021-W14,2020-2021,14,2020-12-11,Friday
2020-2021-W15,2020-2021,15,2020-12-14,Monday
2020-2021-W15,2020-2021,15,2020-12-15,Tuesday
2020-2021-W15,2020-2021,15,2020-12-16,Wednesday
2020-2021-W15,2020-2021,15,2020-12-17,Thursday
2020-2021-W15,2020-2021,15,2020-12-18,Friday
2020-2021-W16,2020-2021,16,2020-12-21,Monday
2020-2021-W16,2020-2021,16,2020-12-22,Tuesday
2020-2021-W16,2020-2021,16,2020-12-23,Wednesday
2020-2021-W16,2020-2021,16,2020-12-24,Thursday
2020-2021-W16,2020-2021,16,2020-12-25,Friday
2020-2021-W17,2020-2021,17,2020-12-28,Monday
2020-2021-W17,2020-2021,17,2020-12-29,Tuesday
2020-2021-W17,2020-2021,17,2020-12-30,Wednesday
2020-2021-W17,2020-2021,17,2020-12-31,Thursday
2020-2021-W17,2020-2021,17,2021-01-01,Friday
2020-2021-W18,2020-2021,18,2021-01-04,Monday
2020-2021-W18,2020-2021,18,2021-01-05,Tuesday
2020-2021-W18,2020-2021,18,2021-01-06,Wednesday
2020-2021-W18,2020-2021,18,2021-01-07,Thursday
2020-2021-W18,2020-2021,18,2021-01-08,Friday
2020-2021-W19,2020-2021,19,2021-01-11,Monday
2020-2021-W19,2020-2021,19,2021-01-12,Tuesday
2020-2021-W19,2020-2021,19,2021-01-13,Wednesday
2020-2021-W19,2020-2021,19,2021-01-14,Thursday
2020-2021-W19,2020-2021,19,2021-01-15,Friday
2020-2021-W20,2020-2021,20,2021-01-18,Monday
2020-2021-W20,2020-2021,20,2021-01-19,Tuesday
2020-2021-W20,2020-2021,20,2021-01-20,Wednesday
2020-2021-W20,2020-2021,20,2021-01-21,Thursday
2020-2021-W20,2020-2021,20,2021-01-22,Friday
2020-2021-W21,2020-2021,21,2021-01-25,Monday
2020-2021-W21,2020-2021,21,2021-01-26,Tuesday
2020-2021-W21,2020-2021,21,2021-01-27,Wednesday
2020-2021-W21,2020-2021,21,2021-01-28,Thursday
2020-2021-W21,2020-2021,21,2021-01-29,Friday
2020-2021-W22,2020-2021,22,2021-02-01,Monday
2020-2021-W22,2020-2021,22,2021-02-02,Tuesday
2020-2021-W22,2020-2021,22,2021-02-03,Wednesday
2020-2021-W22,2020-2021,22,2021-02-04,Thursday
2020-2021-W22,2020-2021,22,2021-02-05,Friday
2020-2021-W23,2020-2021,23,2021-02-08,Monday
2020-2021-W23,2020-2021,23,2021-02-09,Tuesday
2020-2021-W23,2020-2021,23,2021-02-10,Wednesday
2020-2021-W23,2020-2021,23,2021-02-11,Thursday
2020-2021-W23,2020-2021,23,2021-02-12,Friday
2020-2021-W24,2020-2021,24,2021-02-15,Monday
2020-2021-W24,2020-2021,24,2021-02-16,Tuesday
2020-2021-W24,2020-2021,24,2021-02-17,Wednesday
2020-2021-W24,2020-2021,24,2021-02-18,Thursday
2020-2021-W24,2020-2021,24,2021-02-19,Friday
2020-2021-W25,2020-2021,25,2021-02-22,Monday
2020-2021-W25,2020-2021,25,2021-02-23,Tuesday
2020-2021-W25,2020-2021,25,2021-02-24,Wednesday
2020-2021-W25,2020-2021,25,2021-02-25,Thursday
2020-2021-W25,2020-2021,25,2021-02-26,Friday
2020-2021-W26,2020-2021,26,2021-03-01,Monday
2020-2021-W26,2020-2021,26,2021-03-02,Tuesday
2020-2021-W26,2020-2021,26,2021-03-03,Wednesday
2020-2021-W26,2020-2021,26,2021-03-04,Thursday
2020-2021-W26,2020-2021,26,2021-03-05,Friday
2020-2021-W27,2020-2021,27,2021-03-08,Monday
2020-2021-W27,2020-2021,27,2021-03-09,Tuesday
2020-2021-W27,2020-2021,27,2021-03-10,Wednesday
2020-2021-W27,2020-2021,27,2021-03-11,Thursday
2020-2021-W27,2020-2021,27,2021-03-12,Friday
2020-2021-W28,2020-2021,28,2021-03-15,Monday
2020-2021-W28,2020-2021,28,2021-03-16,Tuesday
2020-2021-W28,2020-2021,28,2021-03-17,Wednesday
2020-2021-W28,2020-2021,28,2021-03-18,Thursday
2020-2021-W28,2020-2021,28,2021-03-19,Friday
2020-2021-W29,2020-2021,29,2021-03-22,Monday
2020-2021-W29,2020-2021,29,2021-03-23,Tuesday
2020-2021-W29,2020-2021,29,2021-03-24,Wednesday
2020-2021-W29,2020-2021,29,2021-03-25,Thursday
2020-2021-W29,2020-2021,29,2021-03-26,Friday
2020-2021-W30,2020-2021,30,2021-03-29,Monday
2020-2021-W30,2020-2021,30,2021-03-30,Tuesday
2020-2021-W30,2020-2021,30,2021-03-31,Wednesday
2020-2021-W30,2020-2021,30,2021-04-01,Thursday
2020-2021-W30,2020-2021,30,2021-04-02,Friday
2020-2021-W31,2020-2021,31,2021-04-05,Monday
2020-2021-W31,2020-2021,31,2021-04-06,Tuesday
2020-2021-W31,2020-2021,31,2021-04-07,Wednesday
2020-2021-W31,2020-2021,31,2021-04-08,Thursday
2020-2021-W31,2020-2021,31,2021-04-09,Friday
2020-2021-W32,2020-2021,32,2021-04-12,Monday
2020-2021-W32,2020-2021,32,2021-04-13,Tuesday
2020-2021-W32,2020-2021,32,2021-04-14,Wednesday
2020-2021-W32,2020-2021,32,2021-04-15,Thursday
2020-2021-W32,2020-2021,32,2021-04-16,Friday
2020-2021-W33,2020-2021,33,2021-04-19,Monday
2020-2021-W33,2020-2021,33,2021-04-20,Tuesday
2020-2021-W33,2020-2021,33,2021-04-21,Wednesday
2020-2021-W33,2020-2021,33,2021-04-22,Thursday
2020-2021-W33,2020-2021,33,2021-04-23,Friday
2020-2021-W34,2020-2021,34,2021-04-26,Monday
2020-2021-W34,2020-2021,34,2021-04-27,Tuesday
2020-2021-W34,2020-2021,34,2021-04-28,Wednesday
2020-2021-W34,2020-2021,34,2021-04-29,Thursday
2020-2021-W34,2020-2021,34,2021-04-30,Friday
2020-2021-W35,2020-2021,35,2021-05-03,Monday
2020-2021-W35,2020-2021,35,2021-05-04,Tuesday
2020-2021-W35,2020-2021,35,2021-05-05,Wednesday
2020-2021-W35,2020-2021,35,2021-05-06,Thursday
2020-2021-W35,2020-2021,35,2021-05-07,Friday
2020-2021-W36,2020-2021,36,2021-05-10,Monday
2020-2021-W36,2020-2021,36,2021-05-11,Tuesday
2020-2021-W36,2020-2021,36,2021-05-12,Wednesday
2020-2021-W36,2020-2021,36,2021-05-13,Thursday
2020-2021-W36,2020-2021,36,2021-05-14,Friday
2020-2021-W37,2020-2021,37,2021-05-17,Monday
2020-2021-W37,2020-2021,37,2021-05-18,Tuesday
2020-2021-W37,2020-2021,37,2021-05-19,Wednesday
2020-2021-W37,2020-2021,37,2021-05-20,Thursday
2020-2021-W37,2020-2021,37,2021-05-21,Friday
2020-2021-W38,2020-2021,38,2021-05-24,Monday
2020-2021-W38,2020-2021,38,2021-05-25,Tuesday
2020-2021-W38,2020-2021,38,2021-05-26,Wednesday
2020-2021-W38,2020-2021,38,2021-05-27,Thursday
2020-2021-W38,2020-2021,38,2021-05-28,Friday
2020-2021-W39,2020-2021,39,2021-05-31,Monday
2020-2021-W39,2020-2021,39,2021-06-01,Tuesday
2020-2021-W39,2020-2021,39,2021-06-02,Wednesday
2020-2021-W39,2020-2021,39,2021-06-03,Thursday
2020-2021-W39,2020-2021,39,2021-06-04,Friday
2021-2022-W01,2021-2022,1,2021-09-06,Monday
2021-2022-W01,2021-2022,1,2021-09-07,Tuesday
2021-2022-W01,2021-2022,1,2021-09-08,Wednesday
